title,year,cast,genres
The Last Picture Show,1971,"['Jeff Bridges', 'Timothy Bottoms', 'Cybill Shepherd', 'Cloris Leachman', 'Ben Johnson', 'Ellen Burstyn', 'Eileen Brennan', 'Randy Quaid']","['Drama', 'Biography']"
The Last Rebel,1971,"['Joe Namath', 'Jack Elam', 'Woody Strode']",['Western']
The Last Run,1971,"['George C. Scott', 'Tony Musante', 'Trish Van Devere']",['Action']
Lawman,1971,"['Burt Lancaster', 'Robert Ryan', 'Lee J. Cobb', 'Sheree North', 'J.D. Cannon', 'Albert Salmi', 'Robert Duvall']",['Western']
Le Mans,1971,"['Steve McQueen', 'Siegfried Rauch']",['Sports']
Let's Scare Jessica to Death,1971,"['Zohra Lampert', ""Kevin O'Connor"", 'Gretchen Corbett']","['Horror', 'Independent']"
The Light at the Edge of the World,1971,"['Kirk Douglas', 'Yul Brynner', 'Samantha Eggar']",['Adventure']
Little Murders,1971,"['Elliott Gould', 'Marcia Rodd', 'Doris Roberts', 'Elizabeth Wilson', 'Vincent Gardenia']",['Comedy']
The Love Machine,1971,"['Dyan Cannon', 'John Phillip Law', 'Robert Ryan']",['Drama']
Made for Each Other,1971,"['Renée Taylor', 'Joseph Bologna', 'Paul Sorvino']","['Romance', 'Comedy']"
Making It,1971,"['Kristoffer Tabori', 'Carol Arthur', 'Bob Balaban']","['Drama', 'Comedy']"
